,Departure,DateOfDeparture,MonthlyPAXMean,WeekdayPAXMean,WeeklyPAXMean
1,ORD,2012-06-19,11.4590819397636,11.4259437332021,11.7145732742462
2,LAS,2012-09-10,11.0911524074966,10.7858874535237,11.5186043185731
3,DEN,2012-10-05,10.818385590131,10.8007951104612,10.97266686324
4,ATL,2011-10-09,11.2466543461049,10.7841705489568,11.395533653116
5,DEN,2012-02-21,10.6435501727357,10.78656887605,10.7463648190748
6,ATL,2013-01-22,10.8722063786673,11.0474358864423,11.08401070918
7,SFO,2011-10-20,11.3262120233076,11.5258261882789,11.3382354724118
8,EWR,2012-01-28,10.5118315536221,9.62753091439696,10.7232531505237
9,ATL,2012-05-27,11.244897594285,10.7841705489568,10.9572257924214
10,ATL,2013-02-22,10.9483066347523,11.2452830410363,11.0207733495763
11,ATL,2012-04-25,11.0520892734339,11.1839889096902,11.1790380728514
12,ORD,2013-01-31,11.0897191032697,11.7012876514128,10.9760863023833
13,IAH,2012-06-23,10.80540722445,9.78704632518046,10.57141975858
14,LAX,2011-09-12,11.5344243041897,11.4918469543651,11.6158540342844
15,DFW,2012-11-15,10.7595028669518,11.3649594343707,11.222034587586
16,ATL,2012-03-04,10.9238244018366,10.7841705489568,11.1356483019519
17,ORD,2012-01-10,11.0897191032697,11.4259437332021,11.5390322315383
18,SEA,2013-02-13,10.560477505344,10.9511871234233,10.6433744912827
19,EWR,2012-06-15,11.0848138393626,10.7461537145775,10.9187873661857
20,ATL,2012-02-03,10.9483066347523,11.2452830410363,10.8179137195462
21,SFO,2013-02-06,11.1652391878849,11.3480337014324,11.482957612902
22,ORD,2011-12-02,10.7477670781003,11.3822723248095,11.3578917049347
23,JFK,2012-08-27,11.4392516100788,11.558400654196,11.3616591263583
24,PHL,2012-04-16,10.6805866948757,11.3317960184457,10.6294733942657
25,EWR,2012-11-12,10.4200136713908,11.2321697452369,10.8990737029589
26,ATL,2011-09-08,11.0125713269174,11.2753141132658,10.9441386078003
27,LAS,2012-10-24,11.2174171724103,10.6151899016265,11.4867349629455
28,ORD,2012-04-16,11.3585187911856,11.7533438325572,11.6734292653242
29,PHL,2012-03-14,10.3988437113397,11.1546495472498,10.93131651887
30,EWR,2012-07-24,10.6699218053519,10.8901296720041,10.9764583081
31,SFO,2011-11-19,11.2612044784234,10.509031327209,10.6888579094686
32,JFK,2012-05-02,11.839419464296,11.2637518214344,11.54523350586
33,MIA,2013-03-04,10.3750093009413,10.7972984632124,10.48861548412
34,SEA,2012-04-28,10.8289907415775,9.88097558873259,10.75045253555
35,LAS,2012-08-31,10.7079400294991,11.1633447411449,10.3115276749911
36,MIA,2012-02-11,10.7319837922636,10.1532097120846,10.812488273625
37,DTW,2013-01-17,10.4779180638166,10.9743570472382,10.8348463610262
38,ORD,2012-08-01,11.3333438577217,11.5763253169695,11.3888374941988
39,LAX,2012-10-13,11.5888636319787,10.8779034609239,11.6560016267783
40,SFO,2012-08-02,11.4839192502872,11.5258261882789,11.4642110487909
41,ORD,2012-08-16,11.3333438577217,11.7012876514128,11.2755225442606
42,BOS,2012-03-21,11.0789471728684,11.57127662646,11.41238830202
43,DEN,2012-09-04,10.8142720420334,10.78656887605,10.4517460241088
44,BOS,2012-07-12,10.7476157840209,11.589740947341,10.5732923530889
45,PHL,2012-01-07,10.5610571881515,9.26692191894803,10.2388709357207
46,LAX,2012-09-01,11.5344243041897,10.8779034609239,11.4991564577231
47,ATL,2011-12-12,10.5960251009596,11.4174821150956,11.1668567950196
48,ORD,2012-07-23,11.2819351146499,11.7533438325572,11.8167161369923
