origin,destination,month,passengers,year
ATL,ATL,2,32.0,2009
ATL,ATL,4,119.0,2009
ATL,ATL,12,41.0,2009
ATL,BOS,1,49595.0,2009
ATL,BOS,2,46987.0,2009
ATL,BOS,3,58030.0,2009
ATL,BOS,4,60551.0,2009
ATL,BOS,5,67050.0,2009
ATL,BOS,6,64016.0,2009
ATL,BOS,7,71626.0,2009
ATL,BOS,8,70296.0,2009
ATL,BOS,9,60854.0,2009
ATL,BOS,10,62917.0,2009
ATL,BOS,11,55742.0,2009
ATL,BOS,12,52432.0,2009
ATL,CLT,1,51020.0,2009
ATL,CLT,2,44260.0,2009
ATL,CLT,3,52177.0,2009
ATL,CLT,4,54460.0,2009
ATL,CLT,5,54282.0,2009
ATL,CLT,6,56805.0,2009
ATL,CLT,7,64111.0,2009
ATL,CLT,8,60687.0,2009
ATL,CLT,9,57350.0,2009
ATL,CLT,10,62904.0,2009
ATL,CLT,11,60911.0,2009
ATL,CLT,12,57723.0,2009
ATL,DEN,1,58170.0,2009
ATL,DEN,2,51472.0,2009
ATL,DEN,3,62716.0,2009
ATL,DEN,4,57623.0,2009
ATL,DEN,5,63106.0,2009
ATL,DEN,6,67419.0,2009
ATL,DEN,7,74592.0,2009
ATL,DEN,8,70734.0,2009
ATL,DEN,9,59110.0,2009
ATL,DEN,10,59788.0,2009
ATL,DEN,11,52126.0,2009
ATL,DEN,12,61690.0,2009
ATL,DFW,1,72321.0,2009
ATL,DFW,2,65501.0,2009
ATL,DFW,3,83014.0,2009
ATL,DFW,4,83113.0,2009
ATL,DFW,5,86737.0,2009
ATL,DFW,6,97471.0,2009
ATL,DFW,7,100981.0,2009
ATL,DFW,8,94218.0,2009
ATL,DFW,9,84267.0,2009
ATL,DFW,10,89738.0,2009
ATL,DFW,11,81344.0,2009
ATL,DFW,12,80316.0,2009
ATL,DTW,1,42745.0,2009
ATL,DTW,2,42980.0,2009
ATL,DTW,3,50341.0,2009
ATL,DTW,4,54325.0,2009
ATL,DTW,5,53774.0,2009
ATL,DTW,6,50614.0,2009
ATL,DTW,7,51978.0,2009
ATL,DTW,8,50794.0,2009
ATL,DTW,9,47548.0,2009
ATL,DTW,10,50415.0,2009
ATL,DTW,11,46036.0,2009
ATL,DTW,12,45143.0,2009
ATL,EWR,1,47189.0,2009
ATL,EWR,2,44246.0,2009
ATL,EWR,3,50758.0,2009
ATL,EWR,4,60408.0,2009
ATL,EWR,5,62313.0,2009
ATL,EWR,6,59509.0,2009
ATL,EWR,7,67026.0,2009
ATL,EWR,8,67017.0,2009
ATL,EWR,9,57678.0,2009
ATL,EWR,10,54870.0,2009
ATL,EWR,11,43141.0,2009
ATL,EWR,12,43207.0,2009
ATL,IAH,1,30331.0,2009
ATL,IAH,2,26704.0,2009
ATL,IAH,3,33827.0,2009
ATL,IAH,4,33665.0,2009
ATL,IAH,5,36933.0,2009
ATL,IAH,6,38464.0,2009
ATL,IAH,7,40272.0,2009
ATL,IAH,8,36710.0,2009
ATL,IAH,9,32758.0,2009
ATL,IAH,10,34298.0,2009
ATL,IAH,11,30189.0,2009
ATL,IAH,12,31932.0,2009
ATL,JFK,1,23360.0,2009
ATL,JFK,2,20110.0,2009
ATL,JFK,3,26354.0,2009
ATL,JFK,4,28418.0,2009
ATL,JFK,5,29167.0,2009
ATL,JFK,6,28499.0,2009
ATL,JFK,7,27850.0,2009
ATL,JFK,8,28300.0,2009
ATL,JFK,9,25619.0,2009
ATL,JFK,10,25164.0,2009
ATL,JFK,11,23999.0,2009
ATL,JFK,12,25630.0,2009
ATL,LAS,1,56691.0,2009
ATL,LAS,2,54278.0,2009
ATL,LAS,3,61063.0,2009
ATL,LAS,4,60776.0,2009
ATL,LAS,5,57147.0,2009
ATL,LAS,6,55547.0,2009
ATL,LAS,7,59909.0,2009
ATL,LAS,8,57702.0,2009
ATL,LAS,9,58556.0,2009
ATL,LAS,10,64086.0,2009
ATL,LAS,11,57684.0,2009
ATL,LAS,12,59058.0,2009
ATL,LAX,1,69394.0,2009
ATL,LAX,2,59685.0,2009
ATL,LAX,3,72477.0,2009
ATL,LAX,4,71751.0,2009
ATL,LAX,5,70912.0,2009
ATL,LAX,6,78505.0,2009
ATL,LAX,7,87487.0,2009
ATL,LAX,8,84893.0,2009
ATL,LAX,9,71728.0,2009
ATL,LAX,10,75212.0,2009
ATL,LAX,11,68613.0,2009
ATL,LAX,12,73577.0,2009
ATL,LGA,1,71904.0,2009
ATL,LGA,2,64859.0,2009
ATL,LGA,3,79461.0,2009
ATL,LGA,4,87441.0,2009
ATL,LGA,5,92696.0,2009
ATL,LGA,6,87990.0,2009
ATL,LGA,7,94919.0,2009
ATL,LGA,8,98665.0,2009
ATL,LGA,9,89682.0,2009
ATL,LGA,10,88331.0,2009
ATL,LGA,11,83414.0,2009
ATL,LGA,12,88725.0,2009
ATL,MCO,1,111781.0,2009
ATL,MCO,2,111355.0,2009
ATL,MCO,3,120777.0,2009
ATL,MCO,4,107652.0,2009
ATL,MCO,5,103761.0,2009
ATL,MCO,6,109769.0,2009
ATL,MCO,7,111614.0,2009
ATL,MCO,8,104958.0,2009
ATL,MCO,9,95288.0,2009
ATL,MCO,10,110587.0,2009
ATL,MCO,11,102773.0,2009
ATL,MCO,12,114263.0,2009
ATL,MIA,1,62832.0,2009
ATL,MIA,2,60630.0,2009
ATL,MIA,3,68532.0,2009
ATL,MIA,4,69296.0,2009
ATL,MIA,5,68102.0,2009
ATL,MIA,6,65377.0,2009
ATL,MIA,7,65979.0,2009
ATL,MIA,8,58182.0,2009
ATL,MIA,9,52619.0,2009
ATL,MIA,10,60995.0,2009
ATL,MIA,11,60707.0,2009
ATL,MIA,12,68286.0,2009
ATL,MSP,1,51785.0,2009
ATL,MSP,2,48333.0,2009
ATL,MSP,3,58851.0,2009
ATL,MSP,4,59126.0,2009
ATL,MSP,5,59216.0,2009
ATL,MSP,6,60403.0,2009
ATL,MSP,7,60487.0,2009
ATL,MSP,8,57663.0,2009
ATL,MSP,9,47889.0,2009
ATL,MSP,10,51083.0,2009
ATL,MSP,11,48331.0,2009
ATL,MSP,12,49094.0,2009
ATL,ORD,1,48244.0,2009
ATL,ORD,2,45272.0,2009
ATL,ORD,3,58111.0,2009
ATL,ORD,4,59954.0,2009
ATL,ORD,5,59051.0,2009
ATL,ORD,6,60709.0,2009
ATL,ORD,7,65094.0,2009
ATL,ORD,8,59993.0,2009
ATL,ORD,9,55151.0,2009
ATL,ORD,10,59061.0,2009
ATL,ORD,11,53046.0,2009
ATL,ORD,12,47972.0,2009
ATL,PHL,1,57624.0,2009
ATL,PHL,2,51525.0,2009
ATL,PHL,3,61170.0,2009
ATL,PHL,4,63599.0,2009
ATL,PHL,5,67644.0,2009
ATL,PHL,6,69845.0,2009
ATL,PHL,7,74688.0,2009
ATL,PHL,8,75187.0,2009
ATL,PHL,9,63480.0,2009
ATL,PHL,10,65806.0,2009
ATL,PHL,11,65435.0,2009
ATL,PHL,12,58844.0,2009
ATL,PHX,1,49471.0,2009
ATL,PHX,2,45283.0,2009
ATL,PHX,3,54973.0,2009
ATL,PHX,4,51511.0,2009
ATL,PHX,5,48767.0,2009
ATL,PHX,6,47896.0,2009
ATL,PHX,7,51251.0,2009
ATL,PHX,8,48631.0,2009
ATL,PHX,9,43852.0,2009
ATL,PHX,10,48187.0,2009
ATL,PHX,11,44919.0,2009
ATL,PHX,12,47004.0,2009
ATL,SEA,1,24574.0,2009
ATL,SEA,2,21580.0,2009
ATL,SEA,3,24356.0,2009
ATL,SEA,4,26611.0,2009
ATL,SEA,5,36050.0,2009
ATL,SEA,6,50350.0,2009
ATL,SEA,7,56645.0,2009
ATL,SEA,8,55138.0,2009
ATL,SEA,9,43537.0,2009
ATL,SEA,10,34803.0,2009
ATL,SEA,11,30523.0,2009
ATL,SEA,12,31902.0,2009
ATL,SFO,1,34859.0,2009
ATL,SFO,2,29189.0,2009
ATL,SFO,3,34502.0,2009
ATL,SFO,4,39233.0,2009
ATL,SFO,5,45749.0,2009
ATL,SFO,6,56060.0,2009
ATL,SFO,7,62845.0,2009
ATL,SFO,8,59166.0,2009
ATL,SFO,9,44065.0,2009
ATL,SFO,10,43795.0,2009
ATL,SFO,11,40043.0,2009
ATL,SFO,12,42194.0,2009
BOS,ATL,1,47153.0,2009
BOS,ATL,2,48487.0,2009
BOS,ATL,3,53094.0,2009
BOS,ATL,4,60205.0,2009
BOS,ATL,5,61925.0,2009
BOS,ATL,6,62201.0,2009
BOS,ATL,7,72838.0,2009
BOS,ATL,8,71340.0,2009
BOS,ATL,9,59405.0,2009
BOS,ATL,10,65955.0,2009
BOS,ATL,11,56189.0,2009
BOS,ATL,12,54673.0,2009
BOS,BOS,6,61.0,2009
BOS,BOS,7,68.0,2009
BOS,BOS,8,50.0,2009
BOS,CLT,1,29803.0,2009
BOS,CLT,2,31323.0,2009
BOS,CLT,3,32293.0,2009
BOS,CLT,4,35623.0,2009
BOS,CLT,5,37538.0,2009
BOS,CLT,6,37051.0,2009
BOS,CLT,7,40453.0,2009
BOS,CLT,8,40170.0,2009
BOS,CLT,9,32437.0,2009
BOS,CLT,10,38172.0,2009
BOS,CLT,11,30758.0,2009
BOS,CLT,12,32659.0,2009
BOS,DEN,1,18413.0,2009
BOS,DEN,2,18007.0,2009
BOS,DEN,3,21517.0,2009
BOS,DEN,4,19258.0,2009
BOS,DEN,5,20054.0,2009
BOS,DEN,6,23555.0,2009
BOS,DEN,7,24653.0,2009
BOS,DEN,8,24601.0,2009
BOS,DEN,9,20393.0,2009
BOS,DEN,10,22205.0,2009
BOS,DEN,11,18400.0,2009
BOS,DEN,12,20688.0,2009
BOS,DFW,1,22516.0,2009
BOS,DFW,2,23891.0,2009
BOS,DFW,3,27074.0,2009
BOS,DFW,4,30810.0,2009
BOS,DFW,5,31499.0,2009
BOS,DFW,6,33621.0,2009
BOS,DFW,7,39407.0,2009
BOS,DFW,8,37778.0,2009
BOS,DFW,9,32850.0,2009
BOS,DFW,10,38320.0,2009
BOS,DFW,11,29938.0,2009
BOS,DFW,12,29736.0,2009
BOS,DTW,1,13768.0,2009
BOS,DTW,2,12886.0,2009
BOS,DTW,3,16178.0,2009
BOS,DTW,4,18740.0,2009
BOS,DTW,5,20410.0,2009
BOS,DTW,6,21477.0,2009
BOS,DTW,7,25556.0,2009
BOS,DTW,8,23203.0,2009
BOS,DTW,9,18688.0,2009
BOS,DTW,10,20311.0,2009
BOS,DTW,11,17277.0,2009
BOS,DTW,12,16898.0,2009
BOS,EWR,1,15663.0,2009
BOS,EWR,2,20293.0,2009
BOS,EWR,3,26568.0,2009
BOS,EWR,4,24994.0,2009
BOS,EWR,5,22759.0,2009
BOS,EWR,6,21544.0,2009
BOS,EWR,7,21775.0,2009
BOS,EWR,8,21644.0,2009
BOS,EWR,9,22328.0,2009
BOS,EWR,10,25600.0,2009
BOS,EWR,11,19800.0,2009
BOS,EWR,12,18686.0,2009
BOS,IAH,1,13022.0,2009
BOS,IAH,2,13121.0,2009
BOS,IAH,3,16880.0,2009
BOS,IAH,4,17692.0,2009
BOS,IAH,5,17461.0,2009
BOS,IAH,6,20707.0,2009
BOS,IAH,7,24785.0,2009
BOS,IAH,8,24233.0,2009
BOS,IAH,9,16283.0,2009
BOS,IAH,10,19471.0,2009
BOS,IAH,11,16810.0,2009
BOS,IAH,12,20409.0,2009
BOS,JFK,1,29600.0,2009
BOS,JFK,2,32550.0,2009
BOS,JFK,3,37222.0,2009
BOS,JFK,4,35469.0,2009
BOS,JFK,5,41302.0,2009
BOS,JFK,6,41887.0,2009
BOS,JFK,7,43216.0,2009
BOS,JFK,8,45605.0,2009
BOS,JFK,9,38493.0,2009
BOS,JFK,10,37483.0,2009
BOS,JFK,11,34108.0,2009
BOS,JFK,12,37017.0,2009
BOS,LAS,1,9905.0,2009
BOS,LAS,2,10365.0,2009
BOS,LAS,3,10649.0,2009
BOS,LAS,4,11642.0,2009
BOS,LAS,5,12351.0,2009
BOS,LAS,6,11104.0,2009
BOS,LAS,7,11348.0,2009
BOS,LAS,8,12096.0,2009
BOS,LAS,9,11277.0,2009
BOS,LAS,10,12465.0,2009
BOS,LAS,11,9714.0,2009
BOS,LAS,12,7889.0,2009
BOS,LAX,1,16683.0,2009
BOS,LAX,2,21828.0,2009
BOS,LAX,3,29196.0,2009
BOS,LAX,4,37784.0,2009
BOS,LAX,5,43295.0,2009
BOS,LAX,6,43320.0,2009
BOS,LAX,7,52141.0,2009
BOS,LAX,8,52387.0,2009
BOS,LAX,9,39988.0,2009
BOS,LAX,10,44453.0,2009
BOS,LAX,11,34982.0,2009
BOS,LAX,12,36327.0,2009
BOS,LGA,1,28462.0,2009
BOS,LGA,2,34686.0,2009
BOS,LGA,3,37746.0,2009
BOS,LGA,4,45857.0,2009
BOS,LGA,5,44279.0,2009
BOS,LGA,6,46754.0,2009
BOS,LGA,7,42582.0,2009
BOS,LGA,8,41446.0,2009
BOS,LGA,9,46381.0,2009
BOS,LGA,10,53774.0,2009
BOS,LGA,11,47361.0,2009
BOS,LGA,12,38271.0,2009
BOS,MCO,1,30520.0,2009
BOS,MCO,2,35652.0,2009
BOS,MCO,3,40009.0,2009
BOS,MCO,4,40883.0,2009
BOS,MCO,5,28978.0,2009
BOS,MCO,6,24669.0,2009
BOS,MCO,7,27591.0,2009
BOS,MCO,8,28250.0,2009
BOS,MCO,9,20212.0,2009
BOS,MCO,10,26320.0,2009
BOS,MCO,11,28854.0,2009
BOS,MCO,12,34967.0,2009
BOS,MIA,1,27420.0,2009
BOS,MIA,2,30407.0,2009
BOS,MIA,3,31340.0,2009
BOS,MIA,4,30171.0,2009
BOS,MIA,5,29891.0,2009
BOS,MIA,6,28271.0,2009
BOS,MIA,7,30626.0,2009
BOS,MIA,8,29928.0,2009
BOS,MIA,9,24711.0,2009
BOS,MIA,10,30392.0,2009
BOS,MIA,11,28631.0,2009
BOS,MIA,12,31698.0,2009
BOS,MSP,1,12044.0,2009
BOS,MSP,2,11420.0,2009
BOS,MSP,3,13631.0,2009
BOS,MSP,4,15160.0,2009
BOS,MSP,5,22696.0,2009
BOS,MSP,6,23510.0,2009
BOS,MSP,7,25776.0,2009
BOS,MSP,8,24574.0,2009
BOS,MSP,9,19827.0,2009
BOS,MSP,10,20465.0,2009
BOS,MSP,11,17686.0,2009
BOS,MSP,12,16731.0,2009
BOS,ORD,1,37742.0,2009
BOS,ORD,2,43552.0,2009
BOS,ORD,3,52542.0,2009
BOS,ORD,4,61489.0,2009
BOS,ORD,5,62966.0,2009
BOS,ORD,6,70397.0,2009
BOS,ORD,7,78435.0,2009
BOS,ORD,8,78758.0,2009
BOS,ORD,9,60105.0,2009
BOS,ORD,10,72134.0,2009
BOS,ORD,11,60672.0,2009
BOS,ORD,12,56544.0,2009
BOS,PHL,1,19363.0,2009
BOS,PHL,2,22335.0,2009
BOS,PHL,3,24064.0,2009
BOS,PHL,4,27127.0,2009
BOS,PHL,5,25766.0,2009
BOS,PHL,6,27073.0,2009
BOS,PHL,7,28357.0,2009
BOS,PHL,8,26498.0,2009
BOS,PHL,9,24485.0,2009
BOS,PHL,10,29295.0,2009
BOS,PHL,11,22464.0,2009
BOS,PHL,12,20425.0,2009
BOS,PHX,1,8869.0,2009
BOS,PHX,2,8857.0,2009
BOS,PHX,3,9759.0,2009
BOS,PHX,4,9872.0,2009
BOS,PHX,5,9210.0,2009
BOS,PHX,6,9716.0,2009
BOS,PHX,7,10394.0,2009
BOS,PHX,8,11743.0,2009
BOS,PHX,9,8534.0,2009
BOS,PHX,10,11268.0,2009
BOS,PHX,11,9338.0,2009
BOS,PHX,12,10525.0,2009
BOS,SEA,1,6249.0,2009
BOS,SEA,2,5608.0,2009
BOS,SEA,3,7468.0,2009
BOS,SEA,4,8295.0,2009
BOS,SEA,5,10550.0,2009
BOS,SEA,6,13166.0,2009
BOS,SEA,7,16076.0,2009
BOS,SEA,8,16044.0,2009
BOS,SEA,9,12362.0,2009
BOS,SEA,10,12251.0,2009
BOS,SEA,11,8321.0,2009
BOS,SEA,12,8217.0,2009
BOS,SFO,1,25178.0,2009
BOS,SFO,2,24842.0,2009
BOS,SFO,3,31889.0,2009
BOS,SFO,4,36495.0,2009
BOS,SFO,5,41486.0,2009
BOS,SFO,6,43746.0,2009
BOS,SFO,7,47950.0,2009
BOS,SFO,8,49820.0,2009
BOS,SFO,9,42767.0,2009
BOS,SFO,10,47294.0,2009
BOS,SFO,11,36518.0,2009
BOS,SFO,12,40572.0,2009
CLT,ATL,1,52113.0,2009
CLT,ATL,2,45952.0,2009
CLT,ATL,3,53064.0,2009
CLT,ATL,4,55981.0,2009
CLT,ATL,5,55796.0,2009
CLT,ATL,6,60937.0,2009
CLT,ATL,7,64554.0,2009
CLT,ATL,8,59883.0,2009
CLT,ATL,9,57401.0,2009
CLT,ATL,10,63044.0,2009
CLT,ATL,11,59403.0,2009
CLT,ATL,12,59335.0,2009
CLT,BOS,1,30928.0,2009
CLT,BOS,2,29495.0,2009
CLT,BOS,3,34596.0,2009
CLT,BOS,4,36499.0,2009
CLT,BOS,5,40170.0,2009
CLT,BOS,6,39096.0,2009
CLT,BOS,7,41673.0,2009
CLT,BOS,8,39159.0,2009
CLT,BOS,9,34518.0,2009
CLT,BOS,10,38552.0,2009
CLT,BOS,11,30949.0,2009
CLT,BOS,12,31548.0,2009
CLT,CLT,1,74.0,2009
CLT,CLT,2,54.0,2009
CLT,CLT,3,60.0,2009
CLT,CLT,4,52.0,2009
CLT,CLT,5,62.0,2009
CLT,DEN,1,17111.0,2009
CLT,DEN,2,15180.0,2009
CLT,DEN,3,16448.0,2009
CLT,DEN,4,16072.0,2009
CLT,DEN,5,16850.0,2009
CLT,DEN,6,16824.0,2009
CLT,DEN,7,20535.0,2009
CLT,DEN,8,20671.0,2009
CLT,DEN,9,19190.0,2009
CLT,DEN,10,20340.0,2009
CLT,DEN,11,16759.0,2009
CLT,DEN,12,18682.0,2009
CLT,DFW,1,33663.0,2009
CLT,DFW,2,29033.0,2009
CLT,DFW,3,34258.0,2009
CLT,DFW,4,35756.0,2009
CLT,DFW,5,36579.0,2009
CLT,DFW,6,39397.0,2009
CLT,DFW,7,40310.0,2009
CLT,DFW,8,38090.0,2009
CLT,DFW,9,35219.0,2009
CLT,DFW,10,39510.0,2009
CLT,DFW,11,35545.0,2009
CLT,DFW,12,37481.0,2009
CLT,DTW,1,22708.0,2009
CLT,DTW,2,21667.0,2009
CLT,DTW,3,26295.0,2009
CLT,DTW,4,27616.0,2009
CLT,DTW,5,26777.0,2009
CLT,DTW,6,27026.0,2009
CLT,DTW,7,30318.0,2009
CLT,DTW,8,27619.0,2009
CLT,DTW,9,24845.0,2009
CLT,DTW,10,26168.0,2009
CLT,DTW,11,24312.0,2009
CLT,DTW,12,25348.0,2009
CLT,EWR,1,34620.0,2009
CLT,EWR,2,33952.0,2009
CLT,EWR,3,39829.0,2009
CLT,EWR,4,39181.0,2009
CLT,EWR,5,42900.0,2009
CLT,EWR,6,42103.0,2009
CLT,EWR,7,42668.0,2009
CLT,EWR,8,41824.0,2009
CLT,EWR,9,37725.0,2009
CLT,EWR,10,37554.0,2009
CLT,EWR,11,36739.0,2009
CLT,EWR,12,38996.0,2009
CLT,IAH,1,25370.0,2009
CLT,IAH,2,23697.0,2009
CLT,IAH,3,25691.0,2009
CLT,IAH,4,25814.0,2009
CLT,IAH,5,27816.0,2009
CLT,IAH,6,27756.0,2009
CLT,IAH,7,27452.0,2009
CLT,IAH,8,27261.0,2009
CLT,IAH,9,25192.0,2009
CLT,IAH,10,28903.0,2009
CLT,IAH,11,27744.0,2009
CLT,IAH,12,29734.0,2009
CLT,JFK,1,16101.0,2009
CLT,JFK,2,14878.0,2009
CLT,JFK,3,18042.0,2009
CLT,JFK,4,19383.0,2009
CLT,JFK,5,21660.0,2009
CLT,JFK,6,21826.0,2009
CLT,JFK,7,23131.0,2009
CLT,JFK,8,22829.0,2009
CLT,JFK,9,19007.0,2009
CLT,JFK,10,19398.0,2009
CLT,JFK,11,18120.0,2009
CLT,JFK,12,18844.0,2009
CLT,LAS,1,20019.0,2009
CLT,LAS,2,20682.0,2009
CLT,LAS,3,23687.0,2009
CLT,LAS,4,24923.0,2009
CLT,LAS,5,25211.0,2009
CLT,LAS,6,24681.0,2009
CLT,LAS,7,23864.0,2009
CLT,LAS,8,22304.0,2009
CLT,LAS,9,22537.0,2009
CLT,LAS,10,23828.0,2009
CLT,LAS,11,20506.0,2009
CLT,LAS,12,22106.0,2009
CLT,LAX,1,16967.0,2009
CLT,LAX,2,15849.0,2009
CLT,LAX,3,17875.0,2009
CLT,LAX,4,19346.0,2009
CLT,LAX,5,19348.0,2009
CLT,LAX,6,19689.0,2009
CLT,LAX,7,20105.0,2009
CLT,LAX,8,19103.0,2009
CLT,LAX,9,14842.0,2009
CLT,LAX,10,15004.0,2009
CLT,LAX,11,13751.0,2009
CLT,LAX,12,17509.0,2009
CLT,LGA,1,29766.0,2009
CLT,LGA,2,29782.0,2009
CLT,LGA,3,36511.0,2009
CLT,LGA,4,37065.0,2009
CLT,LGA,5,36566.0,2009
CLT,LGA,6,34623.0,2009
CLT,LGA,7,36539.0,2009
CLT,LGA,8,38016.0,2009
CLT,LGA,9,35358.0,2009
CLT,LGA,10,35367.0,2009
CLT,LGA,11,35597.0,2009
CLT,LGA,12,37360.0,2009
CLT,MCO,1,35814.0,2009
CLT,MCO,2,37228.0,2009
CLT,MCO,3,39674.0,2009
CLT,MCO,4,37490.0,2009
CLT,MCO,5,39540.0,2009
CLT,MCO,6,38854.0,2009
CLT,MCO,7,40243.0,2009
CLT,MCO,8,35492.0,2009
CLT,MCO,9,30564.0,2009
CLT,MCO,10,41444.0,2009
CLT,MCO,11,34160.0,2009
CLT,MCO,12,38376.0,2009
CLT,MIA,1,26408.0,2009
CLT,MIA,2,24712.0,2009
CLT,MIA,3,26981.0,2009
CLT,MIA,4,25184.0,2009
CLT,MIA,5,25664.0,2009
CLT,MIA,6,24706.0,2009
CLT,MIA,7,26734.0,2009
CLT,MIA,8,23708.0,2009
CLT,MIA,9,21685.0,2009
CLT,MIA,10,23970.0,2009
CLT,MIA,11,22856.0,2009
CLT,MIA,12,28700.0,2009
CLT,MSP,1,13937.0,2009
CLT,MSP,2,13262.0,2009
CLT,MSP,3,15787.0,2009
CLT,MSP,4,15460.0,2009
CLT,MSP,5,16266.0,2009
CLT,MSP,6,19070.0,2009
CLT,MSP,7,19166.0,2009
CLT,MSP,8,18443.0,2009
CLT,MSP,9,17485.0,2009
CLT,MSP,10,18943.0,2009
CLT,MSP,11,16890.0,2009
CLT,MSP,12,16614.0,2009
CLT,ORD,1,40004.0,2009
CLT,ORD,2,36594.0,2009
CLT,ORD,3,43543.0,2009
CLT,ORD,4,44506.0,2009
CLT,ORD,5,44412.0,2009
CLT,ORD,6,46996.0,2009
CLT,ORD,7,48412.0,2009
CLT,ORD,8,44164.0,2009
CLT,ORD,9,38962.0,2009
CLT,ORD,10,44283.0,2009
CLT,ORD,11,42026.0,2009
CLT,ORD,12,38500.0,2009
CLT,PHL,1,28151.0,2009
CLT,PHL,2,25487.0,2009
CLT,PHL,3,31781.0,2009
CLT,PHL,4,34877.0,2009
CLT,PHL,5,35426.0,2009
CLT,PHL,6,31200.0,2009
CLT,PHL,7,32651.0,2009
CLT,PHL,8,33949.0,2009
CLT,PHL,9,29052.0,2009
CLT,PHL,10,30118.0,2009
CLT,PHL,11,29510.0,2009
CLT,PHL,12,28970.0,2009
CLT,PHX,1,26854.0,2009
CLT,PHX,2,24096.0,2009
CLT,PHX,3,29907.0,2009
CLT,PHX,4,28737.0,2009
CLT,PHX,5,28476.0,2009
CLT,PHX,6,32085.0,2009
CLT,PHX,7,32447.0,2009
CLT,PHX,8,31102.0,2009
CLT,PHX,9,28636.0,2009
CLT,PHX,10,30196.0,2009
CLT,PHX,11,28042.0,2009
CLT,PHX,12,32491.0,2009
CLT,SEA,1,4186.0,2009
CLT,SEA,2,4029.0,2009
CLT,SEA,3,5016.0,2009
CLT,SEA,4,5026.0,2009
CLT,SEA,5,5360.0,2009
CLT,SEA,6,9968.0,2009
CLT,SEA,7,10654.0,2009
CLT,SEA,8,10144.0,2009
CLT,SEA,9,8867.0,2009
CLT,SEA,10,4916.0,2009
CLT,SEA,11,4353.0,2009
CLT,SEA,12,5986.0,2009
CLT,SFO,1,14082.0,2009
CLT,SFO,2,12634.0,2009
CLT,SFO,3,14569.0,2009
CLT,SFO,4,16189.0,2009
CLT,SFO,5,19811.0,2009
CLT,SFO,6,19725.0,2009
CLT,SFO,7,19636.0,2009
CLT,SFO,8,18759.0,2009
CLT,SFO,9,17253.0,2009
CLT,SFO,10,18663.0,2009
CLT,SFO,11,15526.0,2009
CLT,SFO,12,17499.0,2009
DEN,ATL,1,57848.0,2009
DEN,ATL,2,50215.0,2009
DEN,ATL,3,65541.0,2009
DEN,ATL,4,58430.0,2009
DEN,ATL,5,60920.0,2009
DEN,ATL,6,65939.0,2009
DEN,ATL,7,73362.0,2009
DEN,ATL,8,69672.0,2009
DEN,ATL,9,60500.0,2009
DEN,ATL,10,61614.0,2009
DEN,ATL,11,52865.0,2009
DEN,ATL,12,58617.0,2009
DEN,BOS,1,19231.0,2009
DEN,BOS,2,17872.0,2009
DEN,BOS,3,23516.0,2009
DEN,BOS,4,21600.0,2009
DEN,BOS,5,22938.0,2009
DEN,BOS,6,27058.0,2009
DEN,BOS,7,28216.0,2009
DEN,BOS,8,28513.0,2009
DEN,BOS,9,23350.0,2009
DEN,BOS,10,23291.0,2009
DEN,BOS,11,19325.0,2009
DEN,BOS,12,20269.0,2009
DEN,CLT,1,17218.0,2009
DEN,CLT,2,15687.0,2009
DEN,CLT,3,17275.0,2009
DEN,CLT,4,16696.0,2009
DEN,CLT,5,17255.0,2009
DEN,CLT,6,16963.0,2009
DEN,CLT,7,20741.0,2009
